Date,EOD Duration(s)
14/09/2018,10313
15/09/2018,10919
16/09/2018,10449
17/09/2018,10315
18/09/2018,11099
19/09/2018,10283
20/09/2018,10372
21/09/2018,10290
22/09/2018,10295
23/09/2018,11545
24/09/2018,11140
25/09/2018,11345
26/09/2018,11143
27/09/2018,11078
28/09/2018,10796
29/09/2018,4127
30/09/2018,3761
1/10/2018,3845
2/10/2018,4180
3/10/2018,3915
4/10/2018,3926
5/10/2018,4062
6/10/2018,3988
7/10/2018,3947
8/10/2018,3950
9/10/2018,3900
10/10/2018,4072
11/10/2018,3860
12/10/2018,4058
13/10/2018,4008
14/10/2018,3924
15/10/2018,3908
16/10/2018,3956
17/10/2018,4047
18/10/2018,11697
19/10/2018,3957
20/10/2018,3938
21/10/2018,4148
22/10/2018,4013
23/10/2018,4086
24/10/2018,3975
25/10/2018,4043
26/10/2018,4039
27/10/2018,4030
28/10/2018,4099
29/10/2018,4021
30/10/2018,3933
31/10/2018,4083
1/11/2018,4034
2/11/2018,4002
3/11/2018,4140
4/11/2018,
5/11/2018,
6/11/2018,
7/11/2018,
8/11/2018,
9/11/2018,
10/11/2018,
11/11/2018,
12/11/2018,
13/11/2018,
14/11/2018,
15/11/2018,
16/11/2018,
17/11/2018,
18/11/2018,
19/11/2018,
20/11/2018,
21/11/2018,
22/11/2018,
23/11/2018,
24/11/2018,
25/11/2018,
26/11/2018,
27/11/2018,
28/11/2018,
29/11/2018,
30/11/2018,
1/12/2018,
2/12/2018,
3/12/2018,
4/12/2018,
5/12/2018,
6/12/2018,
7/12/2018,
8/12/2018,
9/12/2018,
10/12/2018,
11/12/2018,
12/12/2018,
13/12/2018,
14/12/2018,
15/12/2018,
16/12/2018,
17/12/2018,
18/12/2018,
19/12/2018,
20/12/2018,
21/12/2018,
22/12/2018,
23/12/2018,
24/12/2018,
25/12/2018,
26/12/2018,
27/12/2018,
28/12/2018,
29/12/2018,
30/12/2018,
31/12/2018,
1/1/2019,
2/1/2019,
3/1/2019,
4/1/2019,
5/1/2019,
6/1/2019,
7/1/2019,
8/1/2019,
9/1/2019,
10/1/2019,
11/1/2019,
12/1/2019,
13/01/2019,
14/01/2019,
15/01/2019,
16/01/2019,
17/01/2019,
18/01/2019,
19/01/2019,
20/01/2019,
21/01/2019,
22/01/2019,
23/01/2019,
24/01/2019,
25/01/2019,
26/01/2019,
27/01/2019,
28/01/2019,
29/01/2019,
30/01/2019,
31/01/2019,
1/2/2019,
2/2/2019,
3/2/2019,
4/2/2019,
5/2/2019,
6/2/2019,
7/2/2019,
8/2/2019,
9/2/2019,
10/2/2019,
11/2/2019,
12/2/2019,
13/02/2019,
14/02/2019,
15/02/2019,
16/02/2019,
17/02/2019,
18/02/2019,
19/02/2019,
20/02/2019,
21/02/2019,
22/02/2019,
23/02/2019,
24/02/2019,
25/02/2019,
26/02/2019,
27/02/2019,
28/02/2019,
1/3/2019,
2/3/2019,
3/3/2019,
4/3/2019,
5/3/2019,
6/3/2019,
7/3/2019,
8/3/2019,
9/3/2019,
10/3/2019,
11/3/2019,
12/3/2019,
13/03/2019,
14/03/2019,
15/03/2019,
16/03/2019,
17/03/2019,
18/03/2019,
19/03/2019,
20/03/2019,
21/03/2019,
22/03/2019,
23/03/2019,
24/03/2019,
25/03/2019,
26/03/2019,
27/03/2019,
28/03/2019,
29/03/2019,
30/03/2019,
31/03/2019,
1/4/2019,
2/4/2019,
3/4/2019,
4/4/2019,
5/4/2019,
6/4/2019,
7/4/2019,
8/4/2019,
9/4/2019,
10/4/2019,
11/4/2019,
12/4/2019,
13/04/2019,
14/04/2019,
15/04/2019,
16/04/2019,
17/04/2019,
18/04/2019,
19/04/2019,
20/04/2019,
21/04/2019,
22/04/2019,
23/04/2019,
24/04/2019,
25/04/2019,
26/04/2019,
27/04/2019,
28/04/2019,
29/04/2019,
30/04/2019,
1/5/2019,
2/5/2019,
3/5/2019,
4/5/2019,
5/5/2019,
6/5/2019,
7/5/2019,
8/5/2019,
9/5/2019,
10/5/2019,
11/5/2019,
12/5/2019,
13/05/2019,
14/05/2019,
15/05/2019,
16/05/2019,
17/05/2019,
18/05/2019,
19/05/2019,
20/05/2019,
